CaB	Body of caudate
CaH	Head of caudate
CaT	Tail of caudate
Eca	Peri-caudate ependymal and subependymal zone
GP	Globus pallidus
GPe	External segment of globus pallidus
GPeC	Caudal part of external segment of globus pallidus
GPeR	Rostral part of external segment of globus pallidus
GPi	Internal segment of globus pallidus
MGM1	Gray matter of midbrain
NAC	Nucleus accumbens
NACc	Core of nucleus accumbens
NACs	Shell of nucleus accumbens
Pu	Putamen
PuC	Caudal putamen
PuPV	Posteroventral putamen
PuR	Rostral putamen
SN	Substantia nigra
SN-VTA	Substantia nigra - ventral tegmental area
STH	Ventral tegmental area
VeP	Ventral pallidus
